"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cxcr4",2.54763822221646,6.39660339350827,18.1211336664908,1.70273135654282e-17,3.38639212189235e-13,29.4577187780145
"Kctd12",-2.30235052848818,8.21667534636177,-16.3311506324666,2.76958989804658e-16,2.75408019461752e-12,27.0099997444354
"Etv3",-1.86280058869385,7.38714101554579,-13.1285183426726,7.97482118669226e-14,5.28677479203119e-10,21.5273327435565
"Irf2bp2",1.78351476261704,7.0762288584909,12.7912624453147,1.53457312263233e-13,7.62989756572797e-10,20.8602234390103
"Niban2",-1.55764614466449,9.0146562756156,-11.7964746485516,1.13801473526848e-12,4.52656741100391e-09,18.9599994390343
"Crebrf",1.73966812208117,5.77485133443972,11.6623578674598,1.50389394805336e-12,4.98490713981421e-09,18.6150561345254
"Map2k3",-1.4299901580659,7.70650156866496,-11.4555394901686,2.32124365314594e-12,6.59498482482378e-09,18.2420514466008
"Gpr157",1.84039160181985,4.4188512744591,11.0737129680781,5.24304163623876e-12,1.30342015076895e-08,17.2711323635263
"Phldb1",-2.80664976157707,5.50683476189946,-10.8872409051855,7.85601826246013e-12,1.62154265985457e-08,16.5811116795127
"Ier2",-2.10612081469224,5.3971174161803,-10.8702075795872,8.15337218350044e-12,1.62154265985457e-08,16.7867774584211
"Sbno2",-2.13030203938503,7.24079179131039,-10.8165205014838,9.16841828570332e-12,1.65765002605516e-08,16.8631844869127
"Tnfaip2",-2.43324947774263,9.21463424163877,-10.7067364286905,3.3420907613702e-10,1.84631947394807e-07,13.549791207271
"Gna13",-1.17613772320254,8.26035372813749,-10.5886823170414,1.51454850196553e-11,2.51011171725754e-08,16.4188636230518
"Tnip3",-3.0548572616815,5.61981909510435,-10.5025381751188,3.27245139610952e-11,4.06765708536413e-08,15.4593942623993
"Bcor",-1.68559991597087,6.25244684813288,-10.4882588619074,1.89349305311997e-11,2.89675306465e-08,16.1603509029367
"Marcks",-1.07286988223657,7.51795405106008,-10.3612273198183,2.5161339371098e-11,3.57434798151713e-08,15.9206210629271
"Ell2",-2.00048578953505,7.09985300451718,-10.2988242183775,2.89543321906488e-11,3.83895839071749e-08,15.7625414043758
"Errfi1",-3.02223440989055,6.13120850100051,-10.2240065032288,1.10044303349282e-10,8.75424442004205e-08,14.3724718739774
"Noct",-2.99170780788776,4.16810082964911,-10.2172796128132,3.48115695695156e-11,4.07254409175603e-08,14.9574876120401
"Itpkb",-1.26286849820728,7.10879097800659,-10.1789188672463,3.79743448395932e-11,4.19574316761017e-08,15.5160889689185
"Pcdh7",-2.61121608828033,6.58495001798828,-10.1115710069624,4.42581836184034e-11,4.63266713580425e-08,15.1870863838122
"Prag1",-2.28012009231758,5.30264029113581,-10.0255975578776,5.38588675695065e-11,5.35572579111172e-08,15.0562624709966
"Lrrfip1",-1.13152802524803,7.39943379654372,-9.82783963094282,8.49097157378664e-11,7.79000170410553e-08,14.7270621292991
"Sema4c",-3.66597036596039,3.35966641538037,-9.82146270108124,8.61725852224063e-11,7.79000170410553e-08,12.772824513124
"Kcnn4",-2.53633816082213,6.24205811164276,-9.76891128839464,2.74269162617368e-10,1.65292882004067e-07,13.588340618208
"Enc1",2.02476101011359,5.60171690952748,9.76620798152842,9.79538762211272e-11,8.47002908819903e-08,14.533299443111
"Lpin1",1.76332693178322,4.75841206139659,9.71869279240779,1.09399915674078e-10,8.75424442004205e-08,14.362196800051
"Kdm6b",-2.30378197263801,5.57775342335502,-9.69690532661847,1.1509789643388e-10,8.80410370875769e-08,14.2309327316594
"Fam177a2",-1.9277498570856,6.63981705400026,-9.62587726709404,1.35874997367231e-10,9.68511431862823e-08,14.231033921473
"Fam177a",-1.92407970638081,6.64199219102552,-9.6243703970469,1.36355189522119e-10,9.68511431862823e-08,14.2279993260224
"Swap70",-1.50570433501592,6.80151969422747,-9.5390313650059,1.66590967266571e-10,1.13596204685932e-07,14.0542615647896
"Lrrc25",-1.63573284673529,7.10565561791287,-9.52705231538827,1.71353888806212e-10,1.13596204685932e-07,14.0380312756765
"Dot1l",-1.65977403550947,6.58394720555085,-9.50141690256983,1.8202064456289e-10,1.16775050937637e-07,13.954024587548
"Foxo3",1.58095436675383,6.35569538725907,9.46676683735027,1.97528331125799e-10,1.22763857794684e-07,13.8984423342269
"Itga5",-1.44237476953952,8.42131353409334,-9.29571518571871,2.96430919777457e-10,1.69930837886118e-07,13.4901153724982
"Zfp263",-2.2757199344726,6.81667352333221,-9.29202120152854,2.99053666834982e-10,1.69930837886118e-07,13.4608478743123
"Odc1",-1.1121672675313,7.10324594236556,-9.20726759978238,3.6621612743735e-10,1.96846117364163e-07,13.2958113684288
